"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,12669.93839,0,1,0,0,0,0,0,0,0,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"2",2,12669.2306754433,0.583109038776232,0.790013795425868,0.0000622868341314452,0.00000020246875854908,0.334529228812663,0.00000000438043154605726,0.707714556698085,0.0000664238179333479,0.000000206849190095137,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"3",3,12668.5989491737,0.921297080414304,0.784870086248651,0.000110704236424076,0.000000718952918226331,0.633162204685388,0.0000000317729335985434,1.33944082631062,0.000125718753460573,0.000000750725851824875,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"4",4,12667.9287607506,1.18543984433412,0.874032513274987,0.000156898695267276,0.00000148696084563368,0.949998406706311,0.0000000994567148884401,2.00962924942825,0.000188627046477719,0.00000158641756052213,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"5",5,12667.1626128423,1.44606096424131,1.01728328919238,0.000206176244668861,0.00000249588169304413,1.31222400950502,0.000000222646324663736,2.7757771577114,0.000260546805023018,0.00000271852801770787,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"6",6,12666.2626936924,1.73541518397138,1.20228997060826,0.000261504054117498,0.00000375953195512826,1.73772547264008,0.000000416739322447487,3.67569630754513,0.000345029479669013,0.00000417627127757574,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"7",7,12665.1959132389,2.07178236563368,1.42819962370009,0.00032509363179884,0.00000530607193840503,2.24216367362819,0.000000698473826074059,4.74247676113952,0.000445184547088422,0.00000600454576447909,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"8",8,12663.9275259863,2.46909050292662,1.69937558937154,0.000399048086627348,0.00000717481811862012,2.84199061178488,0.00000108670355755333,6.01086401369135,0.000564278520150817,0.00000826152167617346,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"9",9,12662.4179882814,2.94086572498652,2.02310081365138,0.000485651112141171,0.00000941590025558544,3.55593850982053,0.00000160307537664382,7.5204017185462,0.000706030624785756,0.0000110189756322293,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"10",10,12660.6209550062,3.50200833383193,2.40885288100465,0.000587522960679478,0.0000120912143467207,4.40597189201427,0.00000227272960623233,9.31743499375548,0.000874801839738538,0.000014363943952953,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"11",11,12658.4815712903,4.16977137728865,2.86821881436387,0.000707732954104937,0.0000152761015927312,5.41810238392422,0.00000312508445518068,11.4568187097169,0.00107575667506318,0.0000184011860479119,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"12",12,12655.9347076329,4.96447727056724,3.41509860170105,0.000849904429929253,0.0000190615776410053,6.62323333407937,0.00000419474434087679,14.0036823670996,0.00131503086956689,0.0000232563219818821,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"13",13,12652.9029733485,5.91019491975743,4.06606078401817,0.00101832794123228,0.0000235570782534552,8.0581135401507,0.00000552256216821711,17.035416651508,0.00159992074966572,0.0000290796404216723,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"14",14,12649.2944046055,7.03547117073468,4.84080912564656,0.00121809098043828,0.0000288937762957224,9.7664509565058,0.00000715689225715807,20.643985394536,0.00193910435149589,0.0000360506685528805,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"15",15,12644.9997744196,8.37415781642798,5.76274468781936,0.00145522831965017,0.0000352285112383465,11.8002134642662,0.00000915505694435733,24.9386155804014,0.00234289968330425,0.0000443835681827038,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"16",16,12639.8893581095,9.96637464369101,6.85965516052699,0.00173690398440179,0.0000427486092390001,14.2212108485218,0.0000115851325492167,30.049031890466,0.00282357882016613,0.0000543337417882168,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"17",17,12634.7534355051,11.0691107481213,8.02890151947406,0.00206814034266593,0.0000516717928934652,17.084807887255,0.0000145278872154207,35.1849544948732,0.00339213394484365,0.0000661996801088859,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"18",18,12628.8075158438,12.4928382713764,9.23402097915173,0.00244504494829215,0.000062202429772436,20.4014895807159,0.0000180776151685165,41.1308741562374,0.0040506458471112,0.0000802800449409526,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"19",19,12621.9976956135,14.181243736544,10.554496447699,0.00286804584601085,0.0000745181298012445,24.2019892979059,0.0000223403738052211,47.9406943864986,0.00480521591814016,0.0000968585036064656,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"20",20,12614.2290211512,16.1294655265867,12.0363150240519,0.00334180582882416,0.0000888028355448544,28.5401302561366,0.0000274333848205598,55.7093688488245,0.00566653023613245,0.000116236220365414,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"21",21,12605.3801769546,18.3558643201428,13.7136189142605,0.00387322747464548,0.000105265037680744,33.4847178324337,0.0000334860695641036,64.558213045419,0.00664824961954244,0.000138751107244848,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"22",22,12595.3082736617,20.8907913440141,15.6177257568578,0.00447071563742366,0.000124147218053322,39.1169637326128,0.0000406419062655991,74.6301163382465,0.00776649812380208,0.000164789124318921,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"23",23,12583.8494878,23.7723015690396,17.7810161112737,0.00514395918172205,0.000145732053722947,45.5302457676949,0.0000490607526917762,86.0889021999964,0.00903981531001653,0.000194792806414724,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"24",24,12570.8178906437,27.0446946722114,20.2387614085949,0.00590393095550517,0.000170347698025943,52.8309100753528,0.0000589215294560939,99.1204993563421,0.0104893155051459,0.000229269227482037,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"25",25,12556.003426747,30.7582156674306,23.0301262528963,0.00676298381375403,0.000198373063821985,61.1395895506098,0.0000704252235009355,113.934963253038,0.0121389495602124,0.00026879828732292,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"26",26,12539.1694141066,34.9692373586882,26.1988451806815,0.00773499463550097,0.000230243548208098,70.5928443175573,0.0000837982475378785,130.768975893358,0.0140158305504205,0.000314041795745977,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"27",27,12520.0497787747,39.7406160129429,29.7937772493718,0.00883553286136567,0.000266457317297963,81.3450166766681,0.0000992961425561814,149.888611225304,0.0161506020584486,0.000365753459854145,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"28",28,12498.3460626009,45.1421077811682,33.8694120009888,0.0100820481973662,0.000307582326700436,93.5703007786537,0.000117207717917323,171.592327399053,0.0185778490897214,0.000424790044617759,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"29",29,12473.7242586122,51.2507750519414,38.4863457126162,0.0114940735354141,0.000354264176678132,107.465024425828,0.000137859701698523,196.2141313878,0.0213365511029472,0.000492123878376655,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"30",30,12445.811690748,58.1513061893159,43.7117104614854,0.0130934294473615,0.000407234445603643,123.250020315587,0.000161621721896079,224.126699252004,0.0244705527973559,0.000568856167499721,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"31",31,12414.1937201679,65.9362198830488,49.6195873896493,0.0149044463260297,0.000467320300074318,141.173301880667,0.000188912152275509,255.744669832144,0.0280290953730262,0.000656232452349827,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"32",32,12378.4107256023,74.7059005017318,56.2912857533966,0.016954176976279,0.00053545448701737,161.512768306785,0.00022020434325986,291.52766439772,0.0320673535818236,0.000755658830277231,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"33",33,12337.9554126081,84.5683792309351,63.815481879422,0.0192726001213715,0.000612685856267747,184.578974962122,0.000256033425785725,331.982977391882,0.0366469857624409,0.000868719282053473,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"34",34,12292.2705270847,95.6386934823229,72.2882660574156,0.0218928081726589,0.000700190831250696,210.718013372482,0.00029700404111218,377.667862915266,0.0418367056199164,0.000997194872362876,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"35",35,12240.7473653234,108.037872895462,81.8128553437764,0.0248511628808577,0.000799285025694139,240.31430219083,0.000343798646730084,429.191024676622,0.0477128363293421,0.00114308367242422,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"36",36,12182.72530613,121.891427313671,92.498913790403,0.0281874085247407,0.000911434920244615,273.793246735943,0.000397186580487627,487.213083870042,0.0543598385393855,0.00130862150073224,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"37",37,12117.4929222852,137.326912129382,104.461594906082,0.031944698309554,0.00103826938949961,311.623519677752,0.000458033852421528,552.445467714767,0.0618707631479767,0.00149630324192113,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"38",38,12044.2909741103,154.470698126338,117.819979363371,0.0361695273478164,0.00118159042420804,354.318859968554,0.00052731362943294,625.647415889664,0.0703476084206359,0.00170890405364098,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"39",39,11962.3176995427,173.443971056673,132.694642716832,0.0409115538505021,0.00134338228866065,402.439215630318,0.000606117360185489,707.620690457323,0.0799015468274248,0.00194949964884614,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"40",40,11870.7373053319,194.357225820845,149.204663060387,0.0462232258071179,0.0015258186299129,456.590751076037,0.000695666401031313,799.201084668107,0.0906529264260021,0.00222148503094421,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"41",41,11768.6920850867,217.303396345361,167.463748264677,0.0521591901402592,0.00173126640417802,517.424472522781,0.000797323981895673,901.246304913345,0.102730997861733,0.00252859038607369,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"42",42,11655.3184651539,242.350201540217,187.574806975153,0.0587754826861983,0.00196228487226594,585.633265955886,0.000912607302414771,1014.61992484612,0.116273326179812,0.00287489217468071,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"43",43,11529.7679730921,269.530624093631,209.623803334551,0.0661283696274333,0.00222161905159716,661.946596291703,0.00104319938020624,1140.17041690794,0.131424738263501,0.0032648184318034,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"44",44,11391.2333646977,298.831983595552,233.672570039023,0.0742728140048482,0.00251218565483582,747.122495707819,0.00119096024674278,1278.7050253023,0.14833573203642,0.00370314590157859,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"45",45,11238.9793834827,330.185179067828,259.749609918239,0.0832606162381627,0.00283704876662913,841.936761929265,0.00135793700709994,1430.95900651734,0.167160331712744,0.00419498577372907,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"46",46,11072.3787097449,363.452347237919,287.841018707281,0.0931380537239426,0.00319938545523771,947.168430498664,0.0015463720210363,1597.55968025506,0.188053203249423,0.00474575747627402,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"47",47,10966.6680662345,335.309731709015,306.770826247518,0.103654512790213,0.00360197370852553,1062.08075061996,0.00175870248635995,1703.27032376548,0.210868036687922,0.00536067619488548,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"48",48,10857.8760094503,318.589254828279,312.847422949206,0.113767848472425,0.00404311676801713,1181.50589438131,0.00199742569664918,1812.06238054973,0.234578697765751,0.00604054246466632,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"49",49,10749.27826562,306.988134803738,312.624159205366,0.122872212650966,0.00451589406580894,1301.91817751194,0.0022647522706876,1920.66012438003,0.258485139380896,0.00678064633649655,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"50",50,10642.449689667,297.594226450297,309.193365665631,0.130760930601258,0.00501151253205154,1421.56277338559,0.00256238830815858,2027.48870033296,0.282238947405461,0.00757390084021012,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
"51",51,10538.1645646247,289.074134955485,304.029898589011,0.137407043132336,0.00552108265232291,1539.5239722235,0.00289148151175194,2131.77382537529,0.305658326413833,0.00841256416407486,"Malawi","Chiradzulu","TA Chitera",125,12670.93839,1,"Pediatrics",23022.413217
