"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,59813.78658,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"2",2,59812.2616483988,1.26244351064862,0.91128137328881,0.00819672976225813,0.0000761646322661659,0.342933493156246,0.000000329743074585708,1.52493160123128,0.00872771310187797,0.0000777959652236229,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"3",3,59810.5406821776,2.30083850593086,1.19748642969553,0.0165197434864906,0.000289184855447902,0.730761466620759,0.00000249183207022676,3.24589782242116,0.0185776676737891,0.000301512658801214,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"4",4,59808.1108190807,3.60832981575072,1.7602022879491,0.0277049231092329,0.000659386017661919,1.2788562135469,0.00000829291998834531,5.67576091929361,0.0324854779228629,0.0007004134560927,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"5",5,59804.479930215,5.50998096029504,2.65311657659076,0.044069607570513,0.00124849630645889,2.09821407595203,0.0000200683024186273,9.30664978501722,0.0532686538137137,0.00134777991742434,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"6",6,59798.988923697,8.36959521270834,4.0196373920848,0.068566576500554,0.00216020803415183,3.33765572507343,0.000041188574293184,14.7976563029756,0.084701523924695,0.00236397964876286,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"7",7,59790.6650615499,12.6992856267861,6.09615854119174,0.105500433709989,0.00355541980376194,5.21694175523073,0.0000766733709443966,23.1215184500933,0.132356375902406,0.00393474481957332,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"8",8,59778.0419194448,19.2631127216374,9.24684572200049,0.161344177491696,0.0056797541189185,8.06754410583627,0.000134074097828514,35.7446605551826,0.204637650620046,0.00634305688821476,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"9",9,59758.9000805278,29.2146210673434,14.0253364167281,0.245893459030038,0.00890660984903773,12.3915171226248,0.000224796670928589,54.8864994722462,0.314274712779184,0.0100187430408361,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"10",10,59729.8796880117,44.2982885871593,21.2707014157465,0.373988369944182,0.0138028200336587,18.9497446935897,0.000366101795338623,83.9068919882687,0.480559317945146,0.0156140299438909,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"11",11,59685.8987808507,67.1500171443152,32.2528089252285,0.568106932397477,0.0212281641120712,28.8950538497813,0.000584133455731924,127.88779914929,0.732720569354365,0.0241180387791464,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"12",12,59619.2817847939,101.745163367386,48.890844791539,0.862275531630517,0.0324859786461029,43.9731070296595,0.000918507287013818,194.504795206148,1.11501825362235,0.0370300959436462,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"13",13,59518.4634387629,154.060470450817,74.0792524986016,1.30794250514409,0.0495504152924401,66.8244961174795,0.00142924972564454,295.32314123706,1.69440185456927,0.0566213209810878,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"14",14,59366.0791831242,233.039501355434,112.169958185817,1.98276704884631,0.0754087913274215,101.437554204413,0.00220728994769024,447.707396875786,2.57199039543482,0.0863288837140612,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"15",15,59136.1986173118,351.968571153173,169.675536347875,3.0036642594908,0.114574981908846,153.822225662101,0.00339028363463036,677.587962688183,3.90015587324305,0.131347681184633,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"16",16,58790.4192952015,530.366822503102,256.272342020816,4.54595000418912,0.173854951104858,233.003128903249,0.00518641599731571,1023.36728479846,5.9076968857318,0.199513629025943,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
"17",17,58355.2503070927,726.564093295489,374.837125834975,6.83558570276541,0.263315745454464,351.028242696736,0.00790963182289927,1458.53627290724,8.89988672532759,0.30244694810446,"Malawi","Lilongwe","TA Kabudula",134,59814.78658,1,"Adults",173614.55529
