"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,27271.4925,0,1,0,0,0,0,0,0,0,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"2",2,27270.7550654426,0.607710283839997,0.794509924213898,0.0000589627278706922,0.000000191479998968156,0.335155191029717,0.00000000414110099285016,0.737434557432583,0.0000628751498699123,0.000000195621099961007,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"3",3,27270.0903509476,0.96564674149024,0.799122076801577,0.000105316228995898,0.000000681679671756145,0.637274206114867,0.0000000300837969894515,1.40214905239915,0.00011955149837081,0.000000711763468745596,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"4",4,27269.3758219082,1.25281771055456,0.901661355129202,0.00015028545678279,0.00000141517824586819,0.962047231106812,0.0000000943881516985077,2.11667809181376,0.000180476784734124,0.0000015095663975667,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"5",5,27268.5484541611,1.54326668140943,1.06245519408618,0.000199057644871514,0.00000238646868877293,1.33812230732486,0.00000021191960941012,2.94404583885364,0.000251025410835175,0.00000259838829818305,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"6",6,27267.5648802585,1.87170773781097,1.27043626488198,0.000254655424682489,0.00000361401944526011,1.78521707127663,0.000000398025715088392,3.92761974143942,0.00033489632788946,0.00000401204516034851,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"7",7,27266.385398935,2.25898930851721,1.52639965993905,0.000319461308434204,0.0000051310682127487,2.32138683446014,0.000000669695006050055,5.10710106498806,0.000435476572810179,0.00000580076321879875,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"8",8,27264.9670300839,2.72214850731055,1.83673502270222,0.00039584545430888,0.00000698303448394884,2.9661825111522,0.00000104637823393059,6.525469916032,0.000556433708666469,0.00000802941271787943,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"9",9,27263.2598874131,3.2785908301963,2.21122294765612,0.000486456714866714,0.00000922769508368262,3.74230157390078,0.00000155074638390246,8.23261258690954,0.000702025544218416,0.0000107784414675851,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
"10",10,27261.2046408419,3.948066659555,2.66243910635899,0.000594393525920179,0.0000119366772141565,4.67674485244465,0.00000220950367511824,10.2878591580655,0.000877317143705674,0.0000141461808892748,"Malawi","Phalombe","TA Chiwalo",127,27272.4925,1,"Pediatrics",46923.204558
