"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,6326.238842,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"2",2,6311.20372268212,12.9102080072574,2.57079301865937,0.0627115053793587,0.000992087750333412,0.490403205926349,1.14929094632191e-05,15.0351193178822,0.0659809147078946,0.00101136683999762,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"3",3,6245.66063105003,65.8859816951488,12.7069985471765,0.331838128253915,0.0070863577387994,2.64617408871078,0.000132132939193336,80.578210949968,0.355462462727402,0.00730800768657424,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"4",4,5934.51270643894,315.459481504574,62.2487588549754,1.66113766430131,0.0379360592097544,13.3179982508339,0.000823227166092224,391.726135561061,1.78823633283827,0.0393170037303647,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"5",5,4670.19922411792,1305.56071443636,280.047750234455,7.87578235492938,0.187556396643388,63.3634840784796,0.00433038121024974,1656.03961788208,8.50557163670077,0.194820510913128,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"6",6,1855.36172288317,3246.38006060472,936.705143650952,31.5762109637826,0.834938304409792,256.360068328819,0.0206972641532772,4470.87711911683,34.3875215438119,0.869657486066256,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"7",7,194.078412830843,3524.73188749806,1788.06035327253,87.7546066080312,2.92998366533418,729.599135895339,0.0844622298576752,6132.16042916916,97.6842747345457,3.07166710135847,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"8",8,7.07100196084932,2541.63427994757,2178.24942843853,164.914025763268,7.47804628600372,1427.62213726367,0.269922340110172,6319.16784003915,190.551751006932,7.93083476519695,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"9",9,0.198064843327505,1735.2924510853,2149.64488588575,239.748038221465,14.6577704337572,2187.02295107952,0.674680450877804,6326.04077715667,290.790289963527,15.7895312771526,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"10",10,0.00702861683181998,1181.37907573448,1917.65125236598,299.461524019936,23.9441200829993,2903.40741060262,1.38843057715591,6326.23181338317,384.393891969906,26.2731802461529,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"11",11,0.000356165335341883,804.184427430503,1614.67017450994,340.271842438398,34.5507587674954,3531.08597764982,2.47530503851243,6326.23848583466,465.385726167272,38.7030256879359,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"12",12,3.02959011756385e-05,547.418494435853,1309.67174809523,363.031468326673,45.6958225078348,4057.45160771207,3.96967062644522,6326.2388117041,532.277125210989,52.3548531205381,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"13",13,4.2102572207316e-06,372.634438096981,1034.83109622621,370.578380132847,56.7203736930559,4486.59570827007,5.87884137057857,6326.23883778974,585.815605485213,66.5819940484367,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"14",14,9.07331920607283e-07,253.65655309026,801.983286339305,366.310559101119,67.1254854751941,4829.97443016007,8.18852692672303,6326.23884109267,627.708792772733,80.8615499019857,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"15",15,2.81230240744517e-07,172.667258863666,612.330109244185,353.476596850076,76.5684601573282,5101.32761140287,10.8688052006417,6326.23884171877,659.935193014063,94.8006293636165,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"16",16,1.12518888070913e-07,117.536777815704,462.02710324543,334.869320550184,84.8410325405529,5314.08503387743,13.8795738581783,6326.23884188748,684.396918235274,108.123696496895,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"17",17,5.71653703887604e-08,80.0087709798983,345.280144341645,312.737209855809,91.8419932529002,5480.19567264481,17.1750508677679,6326.23884194284,702.767009075576,120.652743631356,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"18",18,3.35514660000563e-08,54.4629002642273,255.98388355086,288.804187153493,97.5504519728165,5609.7301605786,20.7072584464515,6326.23884196645,716.441686477906,132.2863988248,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"19",19,2.29514124266241e-08,37.0735665734416,188.510465572052,264.33748217187,102.002511574625,5710.88624880669,24.428567278368,6326.23884197705,726.546608227785,142.980867876393,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"20",20,1.73518188860626e-08,25.236427797445,138.027742441375,240.230021426442,105.272237267078,5790.17895972466,28.293453325644,6326.23884198265,733.967264706848,152.733850474839,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"21",21,1.41001541342951e-08,17.1787377259537,100.564402825821,217.080760178372,107.456872137096,5852.69844557747,32.2596235411864,6326.2388419859,739.387622094361,161.571644099275,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"22",22,1.21368828206182e-08,11.6937713225941,72.9530418503514,195.265292719212,108.665788260956,5902.37228488966,36.288662945094,6326.23884198786,743.328524218907,169.539180586164,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"23",23,1.0888938946096e-08,7.96009327749083,52.7215996206289,174.994436180983,109.012524956653,5942.20385808478,40.3463298685699,6326.23884198911,746.182139737159,176.692559646488,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"24",24,1.00684771279688e-08,5.4185314775405,37.9722926874862,156.360856552235,108.609279581627,5974.47527987692,44.4026018141197,6326.23884198993,748.241027436229,183.0936165929,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"25",25,9.53763584470742e-09,3.68845919896863,27.266844686596,139.375119332601,107.5632725817,6000.91359345526,48.4315527353407,6326.23884199046,749.721770834958,188.806081528343,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"26",26,9.17285403213639e-09,2.51077904698244,19.5265585794723,123.992857461316,105.974511424695,6022.82301324737,52.4111222309918,6326.23884199083,750.78366606503,193.892956108062,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"27",27,8.92262345397561e-09,1.70911768855417,13.9493211463943,110.134822904569,103.934567687518,6041.18819116149,56.3228214025561,6326.23884199108,751.543225139711,198.414797209558,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"28",28,8.74803293962661e-09,1.1634169311196,9.94294156099224,97.7013730839946,101.52607016015,6056.75363298896,60.1514072660302,6326.23884199125,752.085258184299,202.428663869888,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"29",29,8.62578759145043e-09,0.791951962495929,7.07287875072091,86.5827072069322,98.8226876469871,6070.08406842715,63.884547997085,6326.23884199137,752.471238887358,205.987538543509,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"30",30,8.53994610165822e-09,0.53909131459779,5.02193803938535,76.6659234771811,95.8894330795221,6081.60996209328,67.5124939874898,6326.23884199146,752.745561036973,209.140079419726,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
"31",31,8.4795844693516e-09,0.366965949740337,3.55963527831368,67.8397313581844,92.7831671764089,6091.6615779733,71.0277642555695,6326.23884199152,752.940178439684,211.930598043552,"Malawi","Thyolo","TA Changata",112,6327.238842,"Elderly",55182.599312,85
