"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP"
"1",1,152292.3819,0,1,0,0,0,0,0,0,0,"Malawi","Mangochi","TA Chowe","53",152293.3819
"2",2,152291.644433777,0.607736922648998,0.794514367940475,0.00928679580103608,0.00011864306497073,0.325807976338243,1.51695133013691e-06,0.737466222745053,0.00990301271549127,0.000121208934737144,"Malawi","Mangochi","TA Chowe","53",152293.3819
"3",3,152290.979669393,0.965706934833336,0.799139003867557,0.0165876961169497,0.000422377203228718,0.620363574679919,1.10201919607132e-05,1.40223060689295,0.0188297950606675,0.000441017469933597,"Malawi","Mangochi","TA Chowe","53",152293.3819
"4",4,152290.265058247,1.25292793641834,0.901700014564012,0.0236707386569435,0.000876866139879543,0.937631621689563,3.45760328719005e-05,2.11684175350161,0.028425987649461,0.000935350282136462,"Malawi","Mangochi","TA Chowe","53",152293.3819
"5",5,152289.437556131,1.54345498274143,1.06252903860506,0.0313530252229755,0.00147870254915286,1.3054504901417,7.76301637599152e-05,2.94434386942408,0.0395381986959459,0.00161001123796581,"Malawi","Mangochi","TA Chowe","53",152293.3819
"6",6,152288.453766579,1.87201758904414,1.27056588855909,0.0401107762115404,0.00223933716277576,1.74305402500818,0.000145805100979423,3.92813342108671,0.0527492128132731,0.00248596135760625,"Malawi","Mangochi","TA Chowe","53",152293.3819
"7",7,152287.273945463,2.25948633376517,1.52661650234869,0.0503194696399583,0.00317937584759439,2.26810753028751,0.000245324827116332,5.10795453671604,0.0685927884139623,0.00359433415531528,"Malawi","Mangochi","TA Chowe","53",152293.3819
"8",8,152285.855049123,2.72293080069276,1.83708662125244,0.0623527538765183,0.00432697844462689,2.89977040708635,0.000383315799156038,6.52685087715185,0.0876470187134155,0.004975343623195,"Malawi","Mangochi","TA Chowe","53",152293.3819
"9",9,152284.147097182,3.27980423927561,2.21178060673008,0.07662834334791,0.00571797056119894,3.66030357323966,0.000568084897989814,8.23480281805245,0.110583185944801,0.0066788661651317,"Malawi","Mangochi","TA Chowe","53",152293.3819
"10",10,152282.090620718,3.94992715257285,2.6633091294376,0.0936350138307754,0.00739677309665539,4.57620179518134,0.000809417651966629,10.2912792817712,0.138200046794886,0.00876587455714564,"Malawi","Mangochi","TA Chowe","53",152293.3819
"11",11,152279.614285113,4.75670660347481,3.20716557503524,0.113954288503498,0.00941784045192572,5.679251657935,0.00111892132664422,12.7676148867271,0.171455780526621,0.011310456481191,"Malawi","Mangochi","TA Chowe","53",152293.3819
"12",12,152276.632304022,5.72814697237943,3.86212452488009,0.138282269023352,0.0118475219456563,7.0076842610742,0.00151042853365399,15.7495959778364,0.211502754097407,0.0144023586314728,"Malawi","Mangochi","TA Chowe","53",152293.3819
"13",13,152273.041425145,6.89789687897719,4.65083703604932,0.16745433140548,0.0147663634217848,8.60751976708818,0.00200047816900787,19.340474855111,0.259728054955956,0.018150101812235,"Malawi","Mangochi","TA Chowe","53",152293.3819
"14",14,152268.717354671,8.30643675513063,5.60059058953845,0.202474097380506,0.0182718994988922,10.534163098408,0.00260888858784854,23.6645453285443,0.317801586869643,0.0226847426920216,"Malawi","Mangochi","TA Chowe","53",152293.3819
