"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,6073.19881,0,1,0,0,0,0,0,0,0,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"2",2,5856.80170896529,196.417857593891,18.9757621247331,0.224484614199524,0.00214002899756416,1.77683797802541,0.0000186948684074113,216.397101034715,0.231794019033997,0.00217139003415688,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"3",3,1953.87227180989,3571.02683436892,486.676315975513,6.97993189372831,0.0774282101436304,55.5651992239744,0.000828517831827487,4119.32653819011,7.24525187117637,0.0788180663049803,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"4",4,0.707447167745515,3871.43739254485,1701.88609116326,54.2920068323488,1.03489042494742,444.824770354617,0.0162115122281377,6072.49136283226,57.8672343798563,1.06208557910044,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"5",5,0.000000638368644574145,2635.83259047871,2172.26056991839,131.414609944361,4.29645422302135,1130.28737501404,0.107209783103699,6073.19880936163,146.48288184077,4.47630089846948,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"6",6,-0.00000000727328223802233,1794.24309465879,2168.78000181826,207.876475579801,10.1869885577487,1892.74292699908,0.36932239360156,6073.19881000727,244.253789439349,10.8065346731768,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"7",7,0.0000000000672609564566666,1221.36424174689,1946.06931785217,269.877952279449,18.2335603280206,2617.76057033717,0.893167456237441,6073.19880999993,336.300016559881,19.731867599731,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"8",8,-0.0000000956445643515532,831.398448537586,1644.48134671164,313.245643917021,27.6889652729169,3255.63892407692,1.74548157955184,6073.19881009564,416.309760175403,30.6170474875289,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"9",9,-0.0000000304721942091984,565.943046947941,1337.08978503725,338.605157199481,37.7990102424331,3791.79732870691,2.96448189645431,6073.19881003047,482.585646466353,42.7719912341751,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"10",10,0.0000000301272190526168,385.244291703447,1058.34489029692,348.664124331955,47.9215149560399,4229.46183382499,4.56215485652557,6073.19880996987,535.741265777731,55.5746260814681,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"11",11,-0.000000159576305130816,262.240380339923,821.290557549902,346.750548669031,57.5650093857262,4579.82298514327,6.5293290717222,6073.19881015958,577.398428668333,68.5180968042526,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
"12",12,0.00000000157170019938021,178.510409090841,627.720185691712,336.080314980758,66.3870122540397,4856.65954880475,8.8413391763222,6073.19880999843,609.480864603599,81.21854545314,"Malawi","Nkhotakota","TA Malenga Chanzi",180,6074.19881,1,"Elderly",68407.08616
