"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,22844.51821,0,1,0,0,0,0,0,0,0,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"2",2,21295.4617985454,1443.1209153952,99.6439054432643,0.172349907989296,0.000576253515728057,7.11866313194198,0.0000013226619891908,1549.05641145457,0.176382490556675,0.000582752761186532,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"3",3,105.436717087042,18285.9137093466,3895.6617858638,13.0488689619119,0.0656755925252626,545.391251978554,0.000201169621072833,22739.081492913,13.5101768670325,0.0666640920488186,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"4",4,-0.0000000660198040782476,12521.0321175012,7465.74969529419,64.1418959532323,0.703701988275469,2793.88665335633,0.00414597279568318,22844.518210066,69.1524074982536,0.72407430946071,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"5",5,0.0000000130777282168856,8523.22512662105,8360.18239399438,127.251979303814,2.34230901305726,5832.49398872517,0.0224123294601077,22844.5182099869,144.222569221404,2.45243785296334,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"6",6,-0.00000000398118237658572,5801.86645809387,7922.36221507844,184.095088820105,4.94807985640101,8932.17850882185,0.0678593333162921,22844.518210004,220.642634823817,5.28152443065755,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"7",7,0.00000000630066099035853,3949.40622132639,6911.84418044265,227.472072230821,8.27744238561779,11748.3669341848,0.151359423479924,22844.5182099937,289.897652625052,9.02118648175763,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"8",8,0.000000437152299705899,2688.41042428173,5738.97916451007,255.979985838981,12.0325520567388,14149.8358545452,0.28022833008647,22844.5182095628,348.772383035287,13.4095272148173,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"9",9,0.000000021359262007294,1830.03661387159,4610.45170020122,270.978889059834,15.9367518807692,16117.6561780738,0.458076891477016,22844.5182099786,396.835228832508,18.1876324389877,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"10",10,0.0000000766652293825752,1245.72998574572,3617.51693030038,274.912554997779,19.7652880829082,17686.9081407037,0.685310092874632,22844.5182099233,434.988463240468,23.1327383802342,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"11",11,-0.0000000589447009109818,847.984856062746,2788.63554220671,270.426342313572,23.3524904092216,18914.1591289029,0.959850163854976,22844.5182100589,464.660375941414,28.068965116465,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
"12",12,-0.00000000580435753799512,577.234855820375,2120.27144736872,259.944145048735,26.5874792619005,19860.2024139497,1.27786855636252,22844.5182100058,487.377405972123,32.8666204781289,"Malawi","Mwanza","TA Nthache",221,22845.51821,1,"Adults",65016.696934
