"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,185596.5122,0,1,0,0,0,0,0,0,0,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"2",2,185595.774732538,0.607737965419561,0.794514541888462,0.0000569886814005403,0.000000185069153632759,0.335157777215103,0.00000000400245340542496,0.737467462276133,0.0000607701135413039,0.000000189071607038184,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"3",3,185595.109966201,0.965709291129051,0.799139666478785,0.000101790882181388,0.00000065885856784288,0.637282362946199,0.0000000290766135272661,1.4022337993714,0.000115549585808791,0.000000687935181370146,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"4",4,185594.39535184,1.25293225135652,0.901701527914076,0.000145256233284432,0.0000013678078986293,0.962067665674911,0.0000000912283610629848,2.11684816021505,0.000174436958478277,0.00000145903625969229,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"5",5,185593.567844463,1.54346235425657,1.06253192935943,0.000192398926218661,0.00000230660241930296,1.33816634245723,0.000000204826091690059,2.94435553642797,0.000242627496438522,0.00000251142851099302,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"6",6,185592.584046469,1.87202971935333,1.27057096300755,0.000246141336147251,0.00000349310437455697,1.78530282918815,0.000000384704778871735,3.92815353069433,0.000323697519215826,0.00000387780915342871,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"7",7,185591.40421205,2.25950579255954,1.52662499148091,0.000308787648605404,0.00000495945717850572,2.32154277132819,0.00000064728639132148,5.10798794976081,0.000420922520001948,0.0000056067435698272,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"8",8,185589.985295056,2.72296142951485,1.83710038650695,0.000382630849348989,0.00000674958791848182,2.96645273574141,0.00000101137411730184,6.52690494357459,0.000537850090064662,0.00000776096203578366,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"9",9,185588.277311427,3.27985175055478,2.21180244048632,0.000470234377815195,0.00000891938192263259,3.74275372953136,0.00000149888575869246,8.23488857321796,0.000678599731441696,0.0000104182676813251,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"10",10,185586.220786799,3.95000000637876,2.66334319522723,0.000574597803659172,0.0000115381329799095,4.67748172730315,0.00000213564063148355,10.2914132004864,0.000848073275887034,0.0000136737736113931,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"11",11,185583.744378547,4.75681728931642,3.20721805189919,0.000699289932078333,0.0000146907871747133,5.80306917909754,0.00000295226486641741,12.7678214532973,0.00105215097290095,0.0000176430520411307,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"12",12,185580.76228856,5.72831387673673,3.86220454896331,0.000848582811880502,0.0000184808470551365,7.15852196512197,0.00000398525641762765,15.7499114397374,0.00129790488133578,0.0000224661034727641,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"13",13,185577.171247301,6.89814700598862,4.65095807330996,0.00102760334229527,0.0000230339627114369,8.79079170424131,0.00000527825414633762,19.340952699099,0.00159384767945077,0.0000283122168577746,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"14",14,185572.846935721,8.30680968925509,5.60077244086908,0.00124251114462157,0.0000285022886129704,10.7564042519213,0.00000688355034237726,23.6652642790291,0.00195022792372853,0.0000353858389553477,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"15",15,185567.639669403,10.0030443360473,6.74451705746492,0.00150071230141724,0.000035069785688477,13.1234245572035,0.00000886391383772705,28.8725305967166,0.00237938629194132,0.0000439336995262041,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"16",16,185561.369184565,12.0455396662321,8.12177911066279,0.00181111711767424,0.0000429586605515632,15.9738312876291,0.0000112947895684516,35.1430154350917,0.00289618612007453,0.0000542534501200148,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"17",17,185554.99301536,13.5210827801739,9.61196888897157,0.00218050720120903,0.000052430577580789,19.3838857661358,0.0000142667567514639,41.5191846398168,0.00351445388785409,0.000066697334332253,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"18",18,185547.527909107,15.4309046264734,11.1742227848908,0.00260582571246619,0.0000637387504016921,23.3764760301484,0.0000178868844784942,48.98429089286,0.00423833841006992,0.0000816256348801864,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"19",19,185538.881477789,17.7149740809492,12.9114712344697,0.00308900387455501,0.0000771132366184244,28.0010885010321,0.0000222771369295587,57.6307222106991,0.00507681134551467,0.0000993903735479832,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"20",20,185528.903936601,20.3793418305618,14.8872315791031,0.00363695611633211,0.0000927987815228654,33.3379326603395,0.0000275741603159262,67.6082633990626,0.00604441495310795,0.000120372941838792,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"21",21,185517.405384369,23.4611977157672,17.1525050107087,0.00425943884162849,0.000111076501283024,39.4887084577897,0.0000339309545877137,79.1068156305632,0.00715958795904326,0.000145007455870738,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"22",22,185504.160196384,27.0154873146663,19.7571037269028,0.00496832565751505,0.000132276252428746,46.5742704526242,0.0000415195630615193,92.3520036156663,0.00844424196732036,0.000173795815490266,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"23",23,185488.905853626,31.1103240851923,22.7547664650226,0.00577747229466243,0.000156785881527008,54.7352710310728,0.0000505344059650171,107.60634637387,0.00992387804450293,0.000207320287492025,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"24",24,185471.339091408,35.8260173207199,26.2058994586164,0.00670283968040127,0.000185060039309814,64.1342427164423,0.0000611961886744036,125.173108591687,0.0116279642400856,0.000246256227984218,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"25",25,185451.110473845,41.2557297073866,30.1794127199055,0.00776274803586621,0.000217629593175414,74.9585295934029,0.0000737563582406453,145.401726154682,0.0135904670641874,0.00029138595141606,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"26",26,185427.817760064,47.5069024516514,34.7543408279178,0.008978211710529,0.000255112310185101,87.4238748305138,0.0000885022004039247,168.694439936304,0.0158505019223095,0.000343614510589026,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"27",27,185400.99815616,54.7031697829018,40.0214797337616,0.0103733396469775,0.000298225082919966,101.778616995896,0.000105762631165174,195.514043839921,0.0184530939286803,0.00040398771408514,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"28",28,185370.119343863,62.9866606700407,46.0851880133999,0.0119758021153553,0.000347798085251015,118.308557938181,0.000125914832889765,226.392856136655,0.0214500604781709,0.00047371291814078,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"29",29,185334.569129782,72.5206950481243,53.0654119764223,0.0138173707261108,0.000404791179696386,137.342591639342,0.00014939187331764,261.943070217668,0.0249010317863913,0.000554183053014026,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"30",30,185293.643779484,83.4928104638134,61.099962842714,0.0159345270383491,0.000470312562732235,159.259065678864,0.000176691298136127,302.868420516291,0.0288746042557164,0.000647003860868363,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"31",31,185246.534461325,96.1182693782017,70.3471510949471,0.0183691702708683,0.0005456405809124,184.493195006013,0.000208385137038502,349.977738675151,0.0334496846298864,0.000754025717950902,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"32",32,185192.311902044,110.644035272802,80.9887322365137,0.021169420209204,0.000632248569751823,213.545483646133,0.00024513126438777,404.200297955491,0.0387170168919959,0.000877379834139592,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"33",33,185129.908896151,127.35322984458,93.2332997811999,0.0243905318630124,0.000731833456253941,246.991364170999,0.000287686448021571,466.603303848547,0.0447809299485227,0.00101951990427551,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"34",34,185058.100321617,146.570216254041,107.320118288072,0.0280959436957455,0.000846348658193094,285.492264626622,0.000336921362928812,538.411878382452,0.0517613441181836,0.00118327002112191,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"35",35,184975.480505025,168.666330851975,123.523420969833,0.0323584687714689,0.000978041629151701,329.808212805317,0.000393837749697991,621.031694975276,0.0597960563484627,0.00137187937884969,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"36",36,184880.437592399,194.066230344389,142.157323915652,0.0372616445419513,0.00112949690905771,380.812202611072,0.00045958810919288,716.074607600673,0.0690433449069631,0.00158908501825059,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"37",37,184771.124579846,223.254992728259,163.581329851686,0.0429012648068604,0.00130368529149644,439.506557125271,0.000535498272322175,825.387620153587,0.0796849360832328,0.00183918356381862,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"38",38,184645.426623285,256.78609862853,188.20640570238,0.0493871196175462,0.00150401985394231,507.04155815121,0.000623093255843723,951.085576714848,0.0919293818132669,0.00212711310978604,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"39",39,184500.924433522,295.290083587177,216.501847777081,0.0568449488186185,0.00173441982899281,584.736531618243,0.000724126858089573,1095.58776647801,0.106015882560266,0.00245854668708238,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
"40",40,184334.85341506,339.48392671763,249.00291627173,0.0654186342887139,0.00199938321708542,674.103683317983,0.000840615510502426,1261.65878494036,0.122218608840471,0.00283999872758785,"Malawi","Lilongwe","TA Chiseka",124,185597.5122,1,"Pediatrics",333454.30355
