"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP"
"1",1,44043.33732,0,1,0,0,0,0,0,0,0,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"2",2,44042.5998707543,0.607722640498147,0.794511985482208,0.00963338866033243,0.000114807570744032,0.325464958436337,1.46503863266625e-06,0.737449245686402,0.0102726037499865,0.000117290491517428,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"3",3,44041.9351331181,0.965674662485126,0.799129928548494,0.0172067142874338,0.000408721990257752,0.619756211566776,1.06430529327749e-05,1.40218688193102,0.0195324885215009,0.000426759642391914,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"4",4,44041.2205659935,1.25286883880262,0.901679287454127,0.0245539573721214,0.000848515434428867,0.936770014743562,3.33927047454395e-05,2.11675400651161,0.0294866606427634,0.000905108781828482,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"5",5,44040.393135921,1.54335402367337,1.062489446778,0.0325226603620726,0.00143088819213273,1.30431208685331,7.49731983710558e-05,2.94418407905726,0.0410132552296797,0.0015579514022985,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"6",6,44039.4094619941,1.87185145754402,1.27049638984226,0.0416067346941858,0.0021669169323689,1.74159569253647,0.000140814396692173,3.927858005946,0.0547167016955998,0.00240556660545223,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"7",7,44038.2298230692,2.25921984088153,1.52650023890708,0.0521955461187399,0.00307653544377093,2.26626784262536,0.00023692686718692,5.10749693084367,0.0711505172647156,0.00347807478013879,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"8",8,44036.8112095674,2.72251134396959,1.83689810269687,0.0646764978442033,0.00418698416942765,2.89746731149152,0.000370192495104582,6.52611043266671,0.0909141245110357,0.00481437966314084,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"9",9,44035.1036915713,3.27915360362451,2.21148159657224,0.0794826086389023,0.00553291681294448,3.65742907037031,0.00054863277845219,8.23362842879736,0.114703488499441,0.00646272964668928,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"10",10,44033.0478746242,3.94892951192954,2.66284261966639,0.0971204712434076,0.00715729752318409,4.5726137788776,0.000781696634761999,10.2894453758749,0.143346622985981,0.00848210273286801,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"11",11,44030.5725337442,4.75519098297536,3.20644696786346,0.118192682385395,0.00911278923146385,5.67476224196134,0.00108059143165087,12.7647862558487,0.177836644153671,0.0109441558953702,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"12",12,44027.5920435808,5.72586170264104,3.86102874920334,0.143420393659097,0.0114635499742327,7.00204335141444,0.00145867231903841,15.7452764192112,0.219367707162376,0.0139356812353224,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"13",13,44024.0033877338,6.89447239137075,4.6491797695985,0.173668790666187,0.0142874529403472,8.6003919556294,0.00193190603185438,19.333932266237,0.269376868025596,0.0175616120729367,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"14",14,44019.6826176705,8.30133141209126,5.59810083701514,0.209976941906699,0.0176787777705019,10.5250949373314,0.002519423404309,23.6547023295194,0.329593702855364,0.0219486506380554,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"15",15,44014.4805902355,9.99491196631815,6.74052561449342,0.25359361483492,0.021751483373782,12.8427029004203,0.00324418513890781,28.8567297645794,0.402100109505492,0.0272496692198971,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"16",16,44008.2178722476,12.0334843636493,8.11583856301879,0.306020210518639,0.0266431620092884,15.6333276719665,0.00413378128489472,35.1194477524475,0.489402175588034,0.0336490191901752,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"17",17,44001.8512146999,13.5048958763816,9.60341475517805,0.368397648807125,0.0325158224259746,18.9716598571669,0.00522134021536772,41.486105300175,0.593829727217285,0.0413648546607845,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"18",18,43994.3993904331,15.4087448890687,11.1622717910467,0.440203722223265,0.0395260942075232,22.8806370675755,0.0065460027785809,48.9379295669004,0.716075680580067,0.050620140411662,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"19",19,43985.771232291,17.68456678111,12.8949293843019,0.521757006063549,0.0478161325361298,27.4088660583303,0.00815234667601495,57.566087709018,0.857645067784624,0.0616325811010163,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"20",20,43975.8186772539,20.3376946806115,14.8644451377498,0.614214507333359,0.0575370222517778,32.6346610983236,0.010090299884013,67.5186427461541,1.02097943464579,0.0746378785931685,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"21",21,43964.3541613065,23.404313492842,17.1212322014602,0.719209251121341,0.0688621474091631,38.6571258560419,0.0124157447252117,78.9831586935999,1.2091728684672,0.0899041252847289,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"22",22,43951.1552015085,26.9380167786901,19.7143187905651,0.838726546637427,0.0819947622148434,45.5938701241492,0.0151914893450056,92.1821184916018,1.42589849736657,0.107741021482352,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"23",23,43935.9634867622,31.0050952089711,22.6964122661565,0.975079204424092,0.0971736221347092,53.5815844608548,0.0184884753413796,107.373833237883,1.67542555018472,0.128507553179238,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"24",24,43918.4813697693,35.6834452020151,26.1265284731594,1.13092610533127,0.114678269734528,62.777984995683,0.0223871848706815,124.855950230794,1.96267972892634,0.152619662632894,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"25",25,43898.3669142273,41.0630050764276,30.0717351713021,1.30931163462053,0.13483467201316,73.3645399723252,0.0269792460761188,144.970405772765,2.29332819367886,0.18055860654931,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"26",26,43875.2278231133,47.2469474841054,34.6086179579168,1.51371849715426,0.158021600669773,85.5498220716117,0.0323692753065394,168.109496886765,2.673884164558,0.212880458508982,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"27",27,43848.6146159479,54.3532179107697,39.824702106455,1.74812858867319,0.184677725627611,99.5733008044785,0.0386769161045335,194.722704052109,3.11182528430011,0.250226658130557,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"28",28,43818.0126517757,62.5164015432365,45.8200078178303,2.01709497482391,0.215309972597024,115.709814688535,0.0460392273748346,225.324668224398,3.6157332025575,0.293336416058142,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"29",29,43782.8332961601,71.8898014288059,52.7087063136884,2.32582219827985,0.250502926387575,134.274577615496,0.0546133572681553,260.504023839926,4.19544982641147,0.343060648923006,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"30",30,43742.4039714925,82.6477204820766,60.6209682387942,2.68025718213047,0.290929663727202,155.6288933238,0.0645796169766849,300.933348507506,4.86225565145041,0.400378021575325,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
"31",31,43695.9573606864,94.9878672545285,69.704943755122,3.08718852542724,0.337363784797911,180.186451093743,0.0761449000144056,347.379959313633,5.62906620882618,0.466412773553836,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732
