"","time","S","E","I","H","C","R","D","hosp","crits","TA","ID","POP"
"1",1,1055722,0,1,0,0,0,0,0,0,"Lilongwe City","1",1055723
"2",2,1055721.26252787,0.607741895528951,0.794515197482424,0.00767955181997667,5.36364352250275e-05,0.32748118204999,6.70641217113714e-07,0.00818912142855355,5.47964195735587e-05,"Lilongwe City","1",1055723
"3",3,1055720.59775417,0.965718171824861,0.799142163804742,0.0137169168282531,0.000190949374544448,0.623472757729683,4.87200675431354e-06,0.0155709815654712,0.00019937631198391,"Lilongwe City","1",1055723
"4",4,1055719.88312769,1.25294851408935,0.90170723161916,0.0195741543116251,0.000396416250054943,0.942230704411553,1.52860087222943e-05,0.0235064281011965,0.000422855917669895,"Lilongwe City","1",1055723
"5",5,1055719.05560049,1.54349013717876,1.06254282444072,0.0259269672909377,0.000668497082696639,1.31173676258478,3.43201957289633e-05,0.0326955680139407,0.000727859509085317,"Lilongwe City","1",1055723
"6",6,1055718.07177068,1.87207543825355,1.27059008839363,0.0331691805779645,0.00101236917787419,1.75131778647083,6.44603097135007e-05,0.0436203539882423,0.00112386389138277,"Lilongwe City","1",1055723
"7",7,1055716.89188612,2.25957913294989,1.5266569868614,0.0416113239292072,0.00143734904918535,2.27872063249216,0.000108458028100182,0.0567222129826464,0.00162494505709287,"Lilongwe City","1",1055723
"8",8,1055715.47289128,2.72307687095736,1.83715226788211,0.0515624320443356,0.00195616873537439,2.9131915175229,0.000169464053901792,0.0724792571813564,0.00224928470431341,"Lilongwe City","1",1055723
"9",9,1055713.76478821,3.28003082486147,2.21188473288203,0.0633680056771491,0.0025850265954103,3.67709204858316,0.000251151019388244,0.0914466943348549,0.00301943361390799,"Lilongwe City","1",1055723
"10",10,1055711.70808205,3.95027460290882,2.66347159215779,0.0774323472413622,0.00334400790356121,4.59703755867861,0.000357845363787195,0.114285195829681,0.00396296034876594,"Lilongwe City","1",1055723
"11",11,1055709.23139996,4.75723448758388,3.20741584452466,0.0942365118746804,0.00425773558838614,5.70496077722587,0.000494679063306967,0.141787339717978,0.00511336443483814,"Lilongwe City","1",1055723
"12",12,1055706.24889951,5.72894298788914,3.86250617602623,0.114356386652499,0.00535621254671249,7.03927095616463,0.000667768139894855,0.174906394142528,0.00651122743538806,"Lilongwe City","1",1055723
"13",13,1055702.65724605,6.89908986627937,4.65141431981866,0.138483151588937,0.00667586336227746,8.64620631919231,0.000884425398557662,0.214789887433994,0.00820562263383805,"Lilongwe City","1",1055723
"14",14,1055698.33202495,8.30821570941017,5.60145807480077,0.167447295121161,0.00826079845463219,10.581439756221,0.00115341400936534,0.262819458117197,0.0102558177944793,"Lilongwe City","1",1055723
"15",15,1055693.12341408,10.005131690328,6.74554140860086,0.202247467234464,0.0101643519190468,12.9120157528231,0.00148525301732779,0.320658922943938,0.0127333414319847,"Lilongwe City","1",1055723
"16",16,1055686.85094256,12.0486285175771,8.12330335198454,0.244085357744667,0.0124509532841492,15.7186966769805,0.00189258669668511,0.39031250221088,0.0157244934280752,"Lilongwe City","1",1055723
"17",17,1055680.47233332,13.525235369641,9.61415882125804,0.293875990160681,0.0151964761495409,19.076809423946,0.00239059570437539,0.473644969000057,0.0193314048267195,"Lilongwe City","1",1055723
"18",18,1055673.00381955,15.4365894574837,11.1772858531613,0.351208453326521,0.0184743613468083,23.009625095092,0.00299722600946008,0.571217017875289,0.0236585569662596,"Lilongwe City","1",1055723
"19",19,1055664.35269803,17.7227759205704,12.9157146637926,0.416344673893973,0.0223513499470878,27.5663824390722,0.00373292131716998,0.684240053332166,0.0288080516703307,"Lilongwe City","1",1055723
"20",20,1055654.36873805,20.3900345173201,14.8930781579141,0.490218867626495,0.0268984623064183,32.8264113548681,0.00462058824725507,0.814677178695513,0.0348905300634384,"Lilongwe City","1",1055723
"21",21,1055642.8614391,23.4758091165524,17.1605331004405,0.574149042070804,0.0321972926346948,38.890186473666,0.00568587726937627,0.965017752785459,0.0420319530639056,"Lilongwe City","1",1055723
"22",22,1055629.6043676,27.0353987795817,19.7680891864708,0.669739722944691,0.0383436014467232,45.8771034792046,0.00695763440026467,1.13822078908582,0.050377975119496,"Lilongwe City","1",1055723
"23",23,1055614.33391312,31.1373814524748,22.7697609987308,0.778864068723723,0.0454500212366113,53.9261618775556,0.00846846366808337,1.337731278347,0.0600976227564811,"Lilongwe City","1",1055723
"24",24,1055596.74535902,35.8627016019267,26.2263044414392,0.903681006905215,0.0536486138713054,63.1980499369524,0.0102553806975768,1.56753161960599,0.0713869824562493,"Lilongwe City","1",1055723
"25",25,1055576.48731993,41.3053563083131,30.2071131547869,1.04667011682436,0.0630936436750791,73.8780862799044,0.0123605667932185,1.83221442001946,0.0844732780506936,"Lilongwe City","1",1055723
"26",26,1055553.15496752,47.5739006194773,34.7918576889965,1.21067760228402,0.0739646912694137,86.1797996551945,0.0148322233333397,2.13707116677807,0.0996194623773406,"Lilongwe City","1",1055723
"27",27,1055526.2820327,54.7934566373361,40.0721878035263,1.39897167643464,0.0864702614257725,100.349155369445,0.0177255527692208,2.4881969416603,0.11712952193149,"Lilongwe City","1",1055723
"28",28,1055495.33149563,63.1081553158415,46.1536093532651,1.61530745304683,0.100851970529744,116.669476393776,0.0211038841138696,2.89261235604717,0.137354611048415,"Lilongwe City","1",1055723
"29",29,1055459.68531712,72.6838609610818,53.1575210743802,1.8639985803527,0.11738917940664,135.466873178001,0.0250399054598957,3.35839809159751,0.160699816571453,"Lilongwe City","1",1055723
"30",30,1055418.6313061,83.7116740130305,61.2237981918483,2.15000885766975,0.136404937622167,157.117190668308,0.0296172331074314,3.89486703381118,0.18763281621764,"Lilongwe City","1",1055723
"31",31,1055371.34982589,96.4114880377304,70.5133920290746,2.47904493595881,0.158272028807187,182.053045089736,0.0349319930494504,4.51273862774702,0.218692659341581,"Lilongwe City","1",1055723
"32",32,1055316.89718326,111.036408585326,81.2115996883049,2.85767201011888,0.183420549046643,210.772621112648,0.0410947982258314,5.22435684776206,0.254500765310671,"Lilongwe City","1",1055723
"33",33,1055254.18693295,127.877731214852,93.5317322948209,3.29344401330323,0.212346462784294,243.849580094304,0.0482329704096191,6.04393569434505,0.295773322527753,"Lilongwe City","1",1055723
"34",34,1055181.96842953,147.270680935275,107.71928555283,3.79505316431678,0.24562142736416,281.944436300019,0.0564930868184618,6.98784106460424,0.343335517756132,"Lilongwe City","1",1055723
