"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,12039.70066,0,1,0,0,0,0,0,0,0,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"2",2,12038.9632742368,0.607669235236092,0.794503076659169,0.00765236022765056,0.0000711128805387036,0.327489663234844,0.000000315001657058219,0.737385763239951,0.00816012685751955,0.0000726508259242859,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"3",3,12038.2986366132,0.965553991467065,0.79909599379895,0.0136681386538957,0.000253164828398801,0.623449809636292,0.00000228838245580029,1.40202338676706,0.0155156297904918,0.000264337491016557,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"4",4,12037.5842340795,1.25264787630981,0.901601786887606,0.019504047125247,0.000525570576873273,0.942139459853572,0.00000717978829387524,2.1164259205414,0.0234223307200965,0.000560624748902541,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"5",5,12036.7570733426,1.54297656983095,1.06234141682523,0.0258331761745343,0.000886280377650461,1.31153309429435,0.0000161199138971386,2.94358665741661,0.0325775772990089,0.000964983288059299,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"6",6,12035.7738316381,1.87123039810756,1.27023655791092,0.0330476248807146,0.00134214623014281,1.75094135876204,0.0000302760538619579,3.92682836194525,0.0434611901773035,0.00148996423772248,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"7",7,12034.5948736852,2.25822370005178,1.52606560530304,0.041456316520739,0.00190550157487489,2.27808425110932,0.0000509402181329489,5.10578631477789,0.0565123804556555,0.00215420907105053,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"8",8,12033.1773171866,2.72094363420943,1.83619342587761,0.0513664237210016,0.00259319845315792,2.91216653957941,0.0000795915419691481,6.52334281338258,0.0722065750503162,0.00298179147151213,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"9",9,12031.4714205694,3.27672226958765,2.21036404816667,0.0631210723725489,0.00342666991481621,3.67548741668309,0.000117953859037345,8.22923943058382,0.0910955213713981,0.00400256083206488,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"10",10,12029.4180672751,3.94520219626905,2.66109932368863,0.0771214185814408,0.00443248042069051,4.59456924852383,0.000168057411765982,10.2825927248954,0.113835316876222,0.0052529939486261,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"11",11,12026.9464412548,4.74952977245909,3.20376211222617,0.0938442730863598,0.00564317797906646,5.70120709968736,0.000232309772026729,12.7542187452101,0.141212409237124,0.00677739341542575,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"12",12,12023.971517183,5.71732814158521,3.85693565936135,0.113859734200577,0.00709839551283774,7.03360730715026,0.000313579183566973,15.7291428169938,0.174171770813322,0.00862939589831304,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"13",13,12020.3911573251,6.88168928894093,4.64299103491679,0.137851017251656,0.00884620935669221,8.63770983074582,0.000415293734839636,19.3095026749467,0.213849606923881,0.0108738148274781,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"14",14,12016.0826972202,8.28228224640986,5.58880661735501,0.166637570001801,0.0109447820637134,10.5687500046564,0.000541559347956897,23.6179627798348,0.261611979248181,0.0135888592663147,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"15",15,12010.8988695249,9.96664870325313,6.72664556189222,0.201202642558329,0.013464353323101,12.8931319124294,0.000697301677395959,28.8017904751336,0.319101132593951,0.0168688176269561,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"16",16,12004.662957932,11.9917217503822,8.09520665287286,0.24272613723641,0.0164896379116804,15.6906694533197,0.000888436291332262,35.0377020680143,0.388290911530805,0.0208272865050202,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"17",17,11998.3292678632,13.4487966124139,9.57375764094476,0.29209852002523,0.0201202527563979,19.0354970487306,0.00112206190593025,41.3713921367768,0.471010250456564,0.0255985411777322,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"18",18,11990.9234215197,15.3319948319341,11.1208473399638,0.348890803261571,0.0244522679256868,22.9496466782939,0.0014065589016139,48.7772384802807,0.567787575313477,0.0313195675852789,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"19",19,11982.3584651831,17.5793280125339,12.8376230996381,0.413333985785985,0.0295725433526738,27.4805857124365,0.00175146317560094,57.3421948169227,0.679786357748513,0.0381237831591203,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"20",20,11972.492233107,20.1936871272714,14.7855630266243,0.486314883011909,0.03557307113097,32.7051213415849,0.00216744335817351,67.2084268929816,0.808900408006178,0.0461552678798522,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"21",21,11961.1451473359,23.2078484874248,17.0130636598275,0.569086521626212,0.0425590909957921,38.7202884797642,0.00266642446118281,78.5555126640997,0.957525209145855,0.0555774834524452,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"22",22,11948.1054217999,26.6708104394777,19.5665033296796,0.663166482627196,0.0506535847552635,45.6408425749314,0.00326178867029682,91.5952382001413,1.12849452398363,0.0665787480736918,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"23",23,11933.1290058274,30.6427592496278,22.4950626085199,0.77031251089973,0.0600004973437771,53.5995506830723,0.00396862310442816,106.571654172568,1.32508697143502,0.079376667131489,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"24",24,11915.9372286614,35.1934796547082,25.8530914802935,0.892530541059607,0.0707676791992741,62.7487579758512,0.00480400751008968,123.763431338622,1.55106443413496,0.0942224802039548,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
"25",25,11896.2133272912,40.4022012330292,29.7014628741287,1.03209768973475,0.0831499233933879,73.2626336491233,0.00578733939571062,143.487332708805,1.81072737231238,0.111405685606051,"Malawi","Nkhotakota","TA Mwansambo",94,12040.70066,1,"Adults",35720.175186
