"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP"
"1",1,23721.39312,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"2",2,23720.655691215,0.607705427727891,0.794509114142372,0.0098146486603136,0.000119829492071838,0.325278233616862,1.5313715543239e-06,0.737428785011065,0.0104658914922205,0.000122421021543782,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"3",3,23719.9909858143,0.965635768778314,0.799118991113592,0.0175304088489844,0.000426599585332551,0.619411292434387,1.1124929767016e-05,1.40213418569038,0.019899941742567,0.000445426226903057,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"4",4,23719.2764717417,1.25279761787096,0.901654307904972,0.0250157170442946,0.000885627023463278,0.936260083902154,3.49045382473245e-05,2.11664825828409,0.0300412127954035,0.000944695731718384,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"5",5,23718.449128487,1.54323235773071,1.06244173329506,0.0331339960514121,0.00149346456743431,1.30361159396361,7.83673667983309e-05,2.94399151297503,0.0417842773893888,0.00162608511933306,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"6",6,23717.4655938905,1.87165126020367,1.27041263707153,0.0423883499849908,0.0022616685182492,1.7406650049358,0.00014718882367428,3.92752610953792,0.0557448084601603,0.00251075514481974,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"7",7,23716.2861744968,2.25889871855477,1.52636013540169,0.053175316773882,0.00321103714952722,2.26505264427955,0.000247651089690781,5.10694550324912,0.0724865397208906,0.00363013537286857,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"8",8,23714.8679017781,2.72200593180055,1.83667093878422,0.0658893555897822,0.004369991080765,2.89589505782385,0.000386946771216991,6.52521822185039,0.0926198707985394,0.00502481842090389,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"9",9,23713.1609065777,3.27836970007348,2.21112131238411,0.0809712828338878,0.00577468257407892,3.65540298526043,0.000573459164092225,8.23221342229009,0.116853407718585,0.00674514354451096,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"10",10,23711.1058841029,3.94772763638446,2.66228055414698,0.0989367020391784,0.00746992907542834,4.57000401266671,0.000817062823582778,10.2872358971363,0.146030064841765,0.00885263883111473,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"11",11,23708.6317413519,4.75336528942491,3.20558124228607,0.120398775898103,0.00951065803374637,5.67139321322236,0.00112946918300636,12.7613786480482,0.181160634320222,0.0114220509071143,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"12",12,23705.6530467045,5.72310927279469,3.85970877941509,0.146091085175193,0.0119637756431626,6.99767574954512,0.0015246329330384,15.7400732955063,0.223460244578582,0.0145439013929904,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"13",13,23702.0670675542,6.89034853320927,4.64718368453811,0.176893417420389,0.0149104749782348,8.59469709971656,0.00201923596483099,19.3260524458274,0.274390784301,0.0183276140121243,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"14",14,23697.7502704097,8.29518468111564,5.59510256482038,0.213861929593442,0.0184490317461272,10.5176181194525,0.00263326361337419,23.6428495903414,0.335711125235854,0.022905285515624,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"15",15,23692.5541185146,9.98578954428877,6.73604699556639,0.258265275181556,0.0226982007655192,12.8328107709586,0.00339069866495529,28.8390014854258,0.409537565348134,0.0284362566252489,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"16",16,23686.3000385297,12.0200028162337,8.10918506641099,0.311628032892576,0.0278013348754585,15.6201438615912,0.00432035832416239,35.0930814703282,0.498416703647858,0.0351126473357237,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"17",17,23679.9440299017,13.486780952327,9.59384436760882,0.375105633973426,0.0339270939742754,18.9539752249764,0.00545682547844319,41.4490900983384,0.604712523078895,0.0431616419262139,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"18",18,23672.5070654609,15.383950218977,11.1488982336655,0.448160315386486,0.0412384598248544,22.8569663502757,0.00684096100143516,48.8860545391309,0.729122123829299,0.052815370732974,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"19",19,23663.8993460698,17.6505506289521,12.8764196596994,0.531107499544741,0.0498831554148206,27.3772937023338,0.00851928425041896,57.4937739301953,0.873165559894459,0.0643002811296663,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"20",20,23653.974726279,20.2911189936001,14.8389529297952,0.625112541967743,0.0600180065465668,32.5926473697945,0.010543879311776,67.4183937210159,1.03931133900441,0.0778613404572248,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"21",21,23642.5482425058,23.3407261554285,17.0862555291825,0.7318207911986,0.0718228059250292,38.6012791955679,0.012973016909333,78.8448774942119,1.23068583401945,0.0937769525628146,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"22",22,23629.4009015857,26.8514648124804,19.6664881707901,0.853230133030128,0.0855081022627621,45.5196550398811,0.0158721558290186,91.9922184142735,1.45099627815406,0.112368441608914,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"23",23,23614.279054999,30.8876183984937,22.6312089231872,0.991663678064022,0.101320942113028,53.4829378703234,0.0193151887801779,107.114065000962,1.70454521320366,0.134007902268878,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"24",24,23596.8912734469,35.5244165554925,26.037901713368,1.14978593909923,0.119550191046218,62.6468062667336,0.0233858873676659,124.501846553107,1.99628798232661,0.159125966219617,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
"25",25,23576.9038932117,40.8482599382194,29.9515986757806,1.33063936917967,0.14053217427408,73.1900170809404,0.0281795498524449,144.489226788247,2.33191410845224,0.188220231259674,"Malawi","Nkhata Bay","TA Malanda","73",23722.39312
