"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","age","tot_pop","start"
"1",1,370.8276265,0,1,0,0,0,0,0,0,0,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"2",2,369.288297857083,1.27429939413409,0.913508299302021,0.00800328140691631,7.43811901193365e-05,0.343442965493999,3.21389693608571e-07,1.53932864291684,0.00852150160768477,7.59740306238187e-05,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"3",3,367.552945810016,2.32088861413358,1.20422565439902,0.0161601935644826,0.000282726869449994,0.733121070567595,2.43045058726e-06,3.27468068998471,0.0181708415242571,0.000294772433500487,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"4",4,364.979080151677,3.74333386619909,1.7900703559126,0.0272030497600896,0.000645747035132786,1.28728523270629,8.0967098839544e-06,5.84854634832309,0.0318814163406179,0.000685875165289664,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"5",5,361.10915812395,5.80348440545029,2.74192216349292,0.0436435219251795,0.00122735605824277,2.12817129936755,1.96297565252526e-05,9.71846837605071,0.0526789362347239,0.00132464315832205,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"6",6,355.248173055013,8.88010234334715,4.20930542854238,0.0686602544150985,0.00213724487822501,3.4192077498042,4.04239999430705e-05,15.579453444987,0.0846049996682312,0.00233759039565449,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"7",7,346.456211958549,13.4363170187603,6.42815191799082,0.10675556055974,0.00354586240655932,5.3965685630527,7.56186814464761e-05,24.3714145414515,0.133498290480864,0.00392063639931274,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"8",8,333.508454367839,20.0238343606122,9.72296445406295,0.164366441448597,0.00570980965163632,8.40216405225194,0.000133014133499321,37.3191721321608,0.207809785204944,0.00636904143074982,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"9",9,314.969613980803,29.1885839841521,14.4941090018087,0.250379477375726,0.00900587253592476,12.9157098183412,0.000224364983919531,55.8580125191975,0.319393500586777,0.0101178485615461,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"10",10,289.490175304644,41.21906743718,21.1540059259238,0.376275291070177,0.0139694535047699,19.5737659499782,0.00036713769932983,81.3374511953563,0.483972514427033,0.0157890258490131,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"11",11,256.42438528776,55.7066278300122,29.9707739142389,0.555310304115217,0.0213257065812303,29.1486167325922,0.000586724700150184,114.40324121224,0.720607944392609,0.0242335747735365,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"12",12,216.678232103551,71.0625269484303,40.806249029636,0.799935166766077,0.0319895768649895,42.4477747876596,0.000918887091816496,154.149394396449,1.0492002254166,0.0365436761656154,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"13",13,173.272903526343,84.4452858966332,52.8374565456191,1.11702641593566,0.0470002112022808,60.106542081909,0.00141182235812054,197.554722973657,1.48534328146216,0.0539973485774664,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"14",14,130.840617215631,92.6156456616435,64.4928853993303,1.50199362159743,0.0673613659717687,82.3069964072451,0.00212682858145717,239.987009284369,2.03336554503135,0.0779021480130291,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"15",15,93.8949368605214,93.5223339897173,73.8274472206241,1.93489634908052,0.0937990497574462,108.551076640168,0.0031363901319178,276.932689639479,2.68072908130619,0.109343323078362,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"16",16,65.0175498595496,87.4076214094585,79.2406148758894,2.38207567346235,0.126510555952613,137.64873508111,0.00451904457806869,305.810076640451,3.39777572200585,0.148907407465453,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"17",17,44.3521759226695,76.4516993284079,80.0778737431064,2.80375246878161,0.165014005175051,167.970759422858,0.00635160900208893,326.475450577331,4.14403628615814,0.196493235182603,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
"18",18,30.0371476277082,63.7621738417082,76.7976843268911,3.16412688023411,0.208170975889373,197.849622285991,0.00870056157796536,340.790478872292,4.87819306466664,0.251291857388465,"Malawi","Nkhata Bay","TA Boghoyo",108,371.8276265,"Adults",1134.1884163,43
