"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,31231.49632,0,1,0,0,0,0,0,0,0,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"2",2,31230.7885586666,0.583148359296564,0.790020385198112,0.0000639966444256011,0.000000208026358224026,0.334528379764061,0.00000000450066838419819,0.707761333430189,0.0000682471849577656,0.000000212527026608224,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"3",3,31230.1567604328,0.921384473743337,0.784894895432071,0.000113744081188912,0.000000738690571073872,0.633165682655332,0.0000000326451335299963,1.33955956724763,0.00012917079528099,0.000000771335704603868,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"4",4,31229.4864561081,1.18559702556003,0.874088394168091,0.000161209238860197,0.00000152779340309179,0.950015632960005,0.000000102187311345422,2.0098638919077,0.000193808853148941,0.00000162998071443721,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"5",5,31228.7201222655,1.44632460155453,1.01738839314944,0.000211844717726911,0.0000025644449526122,1.31227010187541,0.000000228760404114171,2.77619773450247,0.000267708824861438,0.00000279320535672637,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"6",6,31227.8199103701,1.73584111988897,1.20247146315066,0.000268700477351092,0.00000386285918332911,1.73782405538037,0.000000428186586813935,3.67640962994312,0.000354521392753953,0.00000429104577014305,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"7",7,31226.7526773013,2.07245318179431,1.42849811838404,0.000334050740605308,0.00000545199654251035,2.24235117808986,0.000000717666789333172,4.74364269867215,0.000457444007242178,0.00000616966333184352,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"8",8,31225.4836006104,2.47012705583496,1.69985123229258,0.000410059327029413,0.0000073722932049335,2.84232255331625,0.00000111657770444339,6.01271938964174,0.000579836745216951,0.00000848887090937689,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"9",9,31223.9730251697,2.94244391383859,2.02384195551835,0.000499076994479348,0.00000967531507921778,3.55649856149095,0.00000164716893570974,7.52329483032638,0.000725526674777898,0.0000113224840149275,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
"10",10,31222.1744448355,3.50438313858043,2.40998849761954,0.000603802302696991,0.0000124247459358196,4.40688496602633,0.00000233528403847646,9.32187516455897,0.000899002902182913,0.0000147600299742961,"Malawi","Thyolo","TA Changata",112,31232.49632,1,"Pediatrics",55182.599312
