"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,64092.2125,0,1,0,0,0,0,0,0,0,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"2",2,64091.475043283,0.607728925810738,0.794513033959698,0.0000592648980715811,0.000000192461164345572,0.335155295688055,0.00000000416231943604734,0.737456716980047,0.0000631973677472135,0.000000196623483781619,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"3",3,64090.8102938756,0.965688864883917,0.799133922421577,0.00010585636655129,0.000000685173985582689,0.637276765322321,0.0000000302379757001304,1.40220612440633,0.000120164605776946,0.000000715411961282819,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"4",4,64090.095707378,1.25289484628321,0.901688409014643,0.000151057223132033,0.00000142243714999365,0.962056792154326,0.0000000948720675399943,2.11679262198453,0.000181403407482706,0.00000151730921753364,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"5",5,64089.2682456013,1.54339845303792,1.06250687019497,0.000200081721947596,0.00000239872095837982,1.33814638203463,0.000000213006669384754,2.9442543987171,0.000252316274502887,0.00000261172762776457,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"6",6,64088.2845207919,1.87192456679651,1.27052697433107,0.000255968643072763,0.00000363259698669348,1.78526766565489,0.000000400068859535994,3.92797920809139,0.000336621959997353,0.00000403266584622947,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"7",7,64087.1048016923,2.25933711455551,1.52655140277946,0.000321113716112106,0.00000515748622381306,2.32148284602657,0.000000673135778475267,5.10769830769965,0.000437726156157873,0.00000583062200228833,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"8",8,64085.686063727,2.72269592853487,1.83698106276639,0.000397900771950476,0.0000070190606888299,2.96635331015143,0.00000105176040708243,6.52643627304574,0.000559317193868723,0.00000807082109591233,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"9",9,64083.978354777,3.27943991451668,2.21161317796815,0.000488994527174689,0.00000927542330294474,3.74259230183762,0.00000155873399747427,8.23414522300692,0.000705677673183069,0.000010834157300419,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"10",10,64081.9222476228,3.94936851150982,2.66304790662453,0.000597512705162128,0.0000119986136023994,4.67722422687217,0.00000222090402430693,10.2902523772293,0.000881903057696253,0.0000142195176267063,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"11",11,64079.4464690481,4.75585789443967,3.20676318285087,0.000727164203153599,0.0000152769376111457,5.80266436332356,0.00000307011507290952,12.7660309518699,0.0010941052568347,0.0000183470526840553,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
"12",12,64076.465322879,5.72686724472763,3.86151091977387,0.000882388082895251,0.0000192179827876735,7.1578932061222,0.00000414431555114792,15.7471771210049,0.00134963404967168,0.0000233622983388215,"Malawi","Dowa","TA Mkukula",81,64093.2125,1,"Pediatrics",118457.03342
