"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start","age","tot_pop"
"1",1,6209.934794,0,1,0,0,0,0,0,0,0,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"2",2,6209.19749023687,0.607600252017403,0.794491568972017,0.00773420169069398,0.0000750954884837602,0.327402320812246,0.000000324145581515422,0.737303763126426,0.00824740009163355,0.000076719566498865,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"3",3,6208.53298178568,0.965398133219324,0.79905216191376,0.0138141173225566,0.000267341188701354,0.62327810587206,0.00000235480040845345,1.40181221431681,0.0156813588357517,0.000279139528063098,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"4",4,6207.81879180415,1.25236251024575,0.901501690055844,0.0197118745061884,0.000554994007970283,0.941863738909038,0.00000738812272514255,2.11600219584751,0.0236719996967959,0.000592010979278987,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"5",5,6206.99197883512,1.54248916118933,1.06215024444325,0.0261075514724718,0.000935881389627237,1.31111573888542,0.0000165874962585518,2.94281516487635,0.0329238594814088,0.00101899030591479,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"6",6,6206.00929511771,1.87042854459958,1.26990103910286,0.0333971231565307,0.00141722681060517,1.75032379477363,0.0000311538423070542,3.92549888228551,0.0439214824592912,0.00157331800315014,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"7",7,6204.83121608591,2.25693782326057,1.52550444973356,0.0418923308681245,0.00201203571039699,2.27717885829328,0.0000524162272402187,5.10357791409318,0.0571081512700703,0.0022746585784848,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"8",8,6203.41502347508,2.71892041970599,1.83528378496394,0.0519028968086619,0.00273807536823043,2.91084345208649,0.0000818959838625682,6.51977052491717,0.0729634266172896,0.00314840169843906,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"9",9,6201.71121827679,3.2735854100147,2.20892177478531,0.0637745140700913,0.00361793587606636,3.67355472266064,0.000121365805053133,8.22357572321186,0.0920435256864889,0.00422601924049409,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
"10",10,6199.66104155874,3.94039498532254,2.65885011015532,0.0779109880770301,0.00467960412546387,4.59174384055976,0.000172913017244787,10.2737524412574,0.115009423787672,0.00554595630129731,"Malawi","Nsanje","TA Malemia",179,6210.934794,1,"Adults",20123.428728
